#,fault_id,created,message,updated,url
3427,28037,2022-03-13 23:34:55.168000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/panathinaikos-aek-me-enischymenes-apodoseis-kai-0-gkaniota/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Πα"
3428,28038,2022-03-13 23:34:57.668000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-panathinaikos-aek-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Παναθ"
3429,28039,2022-03-13 23:34:57.691000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/panathinaikos-aek-me-enischymenes-apodoseis-kai-0-gkaniota/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Πα"
3430,28040,2022-03-13 23:34:59.023000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-panathinaikos-aek-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Παναθ"
3431,28041,2022-03-13 23:34:59.045000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/panathinaikos-aek-me-enischymenes-apodoseis-kai-0-gkaniota/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Πα"
3432,28042,2022-03-13 23:35:00.446000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-panathinaikos-aek-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Παναθ"
3433,28043,2022-03-13 23:35:00.466000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/panathinaikos-aek-me-enischymenes-apodoseis-kai-0-gkaniota/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Πα"
3434,28044,2022-03-13 23:35:02.293000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-panathinaikos-aek-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Παναθ"
3435,28045,2022-03-13 23:35:02.317000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/panathinaikos-aek-me-enischymenes-apodoseis-kai-0-gkaniota/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Πα"
3436,28046,2022-03-13 23:35:03.661000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-panathinaikos-aek-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Παναθ"
