#,competition_id,code,fetch_status,label,name,name_gr,rank,nobet_count,overall_match_count,overall_rating,overall_score,overall_tip_count,tipsdnb,tips_lost,tips_won,unknown_count,season,type,country,overall_coefficient,new_coefficient
117,2932,limpretadores,PARTLY_FETCHED,"",Кубок либретадорес,ΔΙΕΘΝΗ - ΛΙΜΠΕΡΤΑΔΟΡΕΣ,36,94,235,324,317.3371445398554,141,0,54,87,0,_2021_2022,INTERNATIONAL,2929,53.07123197850286,55.62684970232832
118,1361,gkolnt-kap,PARTLY_FETCHED,,Кубок голд,ΓΚΟΛΝΤ ΚΑΠ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,INTERNATIONAL,2929,0,0
119,1364,albania-a,PARTLY_FETCHED,,Чемпионат Альбании,ΑΛΒΑΝΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,38,0,0
120,607,switzerland-challenge-league,PARTLY_FETCHED,,Чемпионат Швейцарии. Лига B,Β ΕΛΒΕΤΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,10,0,0
121,1352,euro,PARTLY_FETCHED,,Чемпионат Европы,EURO,1000,0,0,0,0,0,0,0,0,0,_2021_2022,INTERNATIONAL,2929,0,0
122,565,belgium-play-offs-1,PARTLY_FETCHED,,Чемпионат Бельгии. Плейоффс,ΠΛΕΙ ΟΦ ΒΕΛΓΙΟΥ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,CUP,2379,0,0
123,843,scotland-championship,PARTLY_FETCHED,,Чемпионат Шотландии. Чемпионшип,ΣΚΩΤΙΑ - ΤΣΑΜΠΙΟΝΣΙΠ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,18,0,0
124,691,norway-nm-cup,PARTLY_FETCHED,"",Кубок Норвегии,ΝΟΡΒΗΓΙΑ - ΚΥΠΕΛΛΟ ΝΟΡΒΗΓΙΑΣ,28,11,50,390,391.62604300200815,39,0,12,27,0,_2021_2022,CUP,13,17.51817213344547,16.933170731707314
125,1109,copa-do-brasil,PARTLY_FETCHED,"",Кубок Бразилии,ΒΡΑΖΙΛΙΑ - ΚΥΠΕΛΛΟ ΒΡΑΖΙΛΙΑΣ,2,21,27,1235,1217.2289603960396,6,0,0,6,0,_2021_2022,CUP,25,1.83,8.49
126,1244,chile-primera-division,PARTLY_FETCHED,"",Чемпионат Чили,ΧΙΛΗ - Α ΧΙΛΗΣ,54,191,319,244,155.16772804975227,110,3,59,48,18,_2021_2022,LEAGUE,2136,34.25071505191857,66.73747547092077
127,692,netherlands-eredivisie,PARTLY_FETCHED,"",Чемпионат Голландии. Эрдивизи,ΟΛΛΑΝΔΙΑ - Α ΟΛΛΑΝΔΙΑΣ,27,136,536,412,189.45885482881332,400,9,198,193,0,_2021_2022,LEAGUE,2270,91.87561881052277,173.06307093782962
128,1360,africa-cup-of-nations,PARTLY_FETCHED,"",Кубок Африканских Наций,ΔΙΕΘΝΗ - ΚΥΠΕΛΛΟ ΕΘΝΩΝ ΑΦΡΙΚΗΣ,74,30,96,139,128.8490345612076,66,0,39,27,0,_2021_2022,INTERNATIONAL,2929,21.99591284163747,25.937647454956238
129,2105,italy-coppa-italia,PARTLY_FETCHED,"",Кубок Италии,ΙΤΑΛΙΑ - ΚΥΠΕΛΛΟ ΙΤΑΛΙΑΣ,72,16,100,143,110.53363034073735,84,0,51,33,0,_2021_2022,CUP,5,16.95890624921649,28.8961134227926
130,790,portugal-league-cup,PARTLY_FETCHED,"",Кубок Португалии. Лиг куп,ΠΟΡΤΟΓΑΛΙΑ - ΛΙΓΚ ΚΑΠ ΠΟΡΤΟΓΑΛΙΑΣ,61,3,30,210,223.13135785339443,27,0,12,15,0,_2021_2022,CUP,2246,11.857783679681917,7.2036734693877555
131,619,ireland-premier-division,PARTLY_FETCHED,"",Чемпионат Ирландии. Премьер-лига,ΙΡΛΑΝΔΙΑ - Α ΙΡΛΑΝΔΙΑΣ,56,78,256,224,157.24506134569555,167,5,89,73,11,_2021_2022,LEAGUE,11,47.60271605072835,72.0487432907445
132,1317,japan-cup,PARTLY_FETCHED,"",Кубок Японии,ΙΑΠΩΝΙΑ - ΚΥΠΕΛΛΟ,7,5,8,712,696.3519801980198,3,0,0,3,0,_2021_2022,CUP,35,1.1800000000000002,7.08
133,876,scotland-facup,PARTLY_FETCHED,"",Кубок Шотландии. FA CUP,ΣΚΩΤΙΑ - ΚΥΠΕΛΛΟ,80,5,14,120,99.83365668093198,9,0,6,3,0,_2021_2022,CUP,18,2.2666666666666666,9.742857142857142
134,1545,slovenia-a,PARTLY_FETCHED,,Чемпионат Словении,ΣΛΟΒΕΝΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,52,0,0
135,507,france-coupe-de-la-ligue,PARTLY_FETCHED,,Кубок франции. Лига куп,ΛΙΓΚ ΚΑΠ ΓΑΛΛΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,CUP,6,0,0
136,1442,letonia,PARTLY_FETCHED,,Чемпионат Латвии,ΛΕΤΟΝΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,44,0,0
137,1362,kyp-synomospondion,PARTLY_FETCHED,,Кубок конфедерации,ΚΥΠ. ΣΥΝΟΜΟΣΠΟΝΔΙΩΝ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,INTERNATIONAL,2929,0,0
138,750,polish-cup,PARTLY_FETCHED,"",Кубок Польшы,ΠΟΛΩΝΙΑ - ΚΥΠΕΛΛΟ ΠΟΛΩΝΙΑΣ,84,2,14,87,69.07519186127881,12,0,9,3,0,_2021_2022,CUP,15,2.980296756383713,9.691304347826087
139,641,ireland-fai-cup,PARTLY_FETCHED,"",Кубок Ирландии,ΙΡΛΑΝΔΙΑ - ΚΥΠΕΛΛΟ ΙΡΛΑΝΔΙΑΣ,1000,8,9,0,0,1,1,0,0,0,_2021_2022,CUP,11,0,0
140,1051,argentina-cup,PARTLY_FETCHED,"",Кубок Аргентины,ΑΡΓΕΝΤΙΝΗ - ΚΟΠΑ ΝΤΕ ΛΑ ΛΙΓΚΑ ΠΡΟΦΕΣΙΟΝΑΛ,18,64,271,502,144.36067090452494,207,3,117,87,0,_2021_2022,CUP,23,60.22342617950165,190.49626427366724
141,643,cyprus-a,PARTLY_FETCHED,"",Чемпионат Кипра,ΚΥΠΡΟΣ - Α ΚΥΠΡΟΥ,50,127,260,263,181.3205739054802,130,0,67,63,3,_2021_2022,LEAGUE,12,41.21317793429947,70.93916056990848
142,595,denmark-landspokal-cup,PARTLY_FETCHED,"",Кубок Дании,ΔΑΝΙΑ - ΚΥΠΕΛΛΟ ΔΑΝΙΑΣ,78,5,33,124,90.48183177356425,28,1,18,9,0,_2021_2022,CUP,9,5.987962757257049,18.23485704368953
143,970,czech-cup,PARTLY_FETCHED,"",Кубок Чехии,ΤΣΕΧΙΑ - ΚΥΠΕΛΛΟ ΤΣΕΧΙΑΣ,65,5,11,175,174.72150306748466,6,0,3,3,0,_2021_2022,CUP,2307,0.8065030674846625,1.193006134969325
144,1274,australia-cup,PARTLY_FETCHED,"",Кубок Австралии,ΑΥΣΤΡΑΛΙΑ - ΚΥΠΕΛΛΟ ΑΥΣΤΡΑΛΙΑΣ,3,0,6,1224,1219.4939603960397,6,0,0,6,0,_2021_2022,CUP,34,4.2,6
145,3007,europe-super-cup,PARTLY_FETCHED,,Супер кубок Европы,ΔΙΕΘΝΗ - ΣΟΥΠΕΡ ΚΑΠ ΕΥΡΩΠΗΣ,1000,1,1,0,0,0,0,0,0,0,_2021_2022,INTERNATIONAL,2929,0,0
146,1416,israel-a,PARTLY_FETCHED,,Чемпионат Израиля,ΙΣΡΑΗΛ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,42,0,0
147,995,finland-cup,PARTLY_FETCHED,,Кубок Финляндии,ΚΥΠΕΛΛΟ ΦΙΝΛΑΝΔΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,CUP,22,0,0
148,521,austria-2-liga,PARTLY_FETCHED,,Чемпионат Австрии. Бундеслига 2,Β ΑΥΣΤΡΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,7,0,0
149,618,swiss-cup,PARTLY_FETCHED,"",Кубок Швейцарии,ΕΛΒΕΤΙΑ - ΚΥΠΕΛΛΟ ΕΛΒΕΤΙΑΣ,22,3,15,450,439.15735623063557,12,0,3,9,0,_2021_2022,CUP,10,2.716969696969697,7
150,1626,morocco-a,PARTLY_FETCHED,,Чемпионат Мароко,ΜΑΡΟΚΟ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,57,0,0
